1;2;3;4;5;3
1;2;3;4;5;3
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
1;2;3;4;5;0
12;2;52;42;55;0
40;28;1;53;12;0
5;43;45;38;4;0
8;18;39;57;43;0
59;45;52;40;23;0
41;38;35;32;48;0
53;47;59;43;41;0
14;58;31;13;53;0
27;8;55;21;46;0
42;47;29;17;25;0
28;44;45;27;31;0
21;42;8;58;56;0
55;34;43;31;3;0
16;44;15;1;38;0
40;59;20;45;7;0
18;31;59;49;36;0
11;3;57;31;9;0
47;24;42;59;1;0
40;22;5;56;26;0
26;19;21;6;32;0
20;17;43;37;57;0
44;33;48;22;50;0
31;30;4;32;55;0
34;4;57;51;35;0
48;43;31;1;14;0
13;58;36;33;7;0
38;15;41;18;58;0
14;36;26;39;51;0
8;34;48;11;17;0
32;49;53;55;9;0
56;5;57;40;2;0
12;44;31;37;40;0
57;41;47;46;24;0
51;39;10;18;12;0
16;54;15;3;5;0
14;57;11;49;10;0
50;19;55;11;3;0
23;17;18;43;28;0
20;38;3;5;12;0
7;35;19;14;26;0
21;15;52;11;5;0
45;31;57;55;27;0
22;52;42;17;49;0
20;54;38;4;55;0
51;44;29;3;19;0
1;15;50;37;43;0
37;36;35;58;13;0
40;11;29;18;15;0
33;9;51;50;40;0
5;58;39;38;53;0
41;20;24;1;51;0
39;23;20;46;57;0
1;37;35;47;3;0
43;7;8;48;13;0
58;49;26;16;44;0
47;17;50;15;36;0
35;44;16;13;29;0
12;6;1;35;21;0
10;9;56;21;27;0
57;35;22;20;19;0
57;8;26;55;11;0
